# nof_control_points  dimension  delta_t  T_period
84  3  0.04  0.8  6
# control_point_x  control_point_y  control_point_z
-20.34        32.22        26.02
-14.99       -51.13        74.17
-128.89       -159.04        -41.69
22.465       -98.43       -11.08
-56.27       -41.25        49.48
-58.01         4.49       -70.18
-185.95        9.4638          1.86
42.79       -65.36       -82.77
56.587        160.59         22.64
-24.808        141.74        -74.25
-95.9        -5.41        -1.31
62.65         7.37        12.41
32.17     -30.2274       -12.08
-22.85        47.82        14.17
-69.84       -32.36       -19.39
26.996        79.64       -15.76
-86.227        166.05        -18.87
-119.14        173.58        -48.98
-191.88        -2.799        -29.06
-4.53       -11.82        11.72
89.764        65.27       -94.62
-15.061        93.98       -37.41
55.64        60.73       -46.61
-1.51      -103.698        -10.84
65.94        4.797        80.14
-121.36        -96.84       -122.06
-66.37        -132.1       -105.88
21.017       -33.41        -8.46
-105.454         28.35         20.14
-203.16        217.28         13.32
-245.57     -6.509488         70.96
-16.06       -10.54       -13.22
89.026        58.06        -75.7
42.424         152.6        -15.21
-10.37        25.94         0.72
100.6         -0.67           0.3
98.48      6.44068        45.63
-21.14        36.61        58.01
-85.11        25.79        72.17
36.2        239.12          86.6
-199.957        260.08         38.37
-214.66         95.19        105.33
-192.4       41.2065         86.75
-9.99        112.17        -91.11
86.982        133.47        -48.28
38.496        112.58          1.32
38.89       -63.81       -10.34
4.51        4.698        49.43
33.86       32.424        52.91
-1.23       27.465        95.35
62.47         66.82        104.82
95.808        106.61        167.71
-125.54        361.84        110.16
-160.59        301.96        -90.15
# control_point_x  control_point_y  control_point_z
-331.46        46.629        -77.98
-205.41         31.48         17.02
-87.18       -29.56        -9.78
-7.9428       -40.41         8.19
-200             0             0
-100             0             0
-116.08       -42.348       -131.71
-19.54         4.32       -50.84
36.13         60.74       -129.01
35.6473        238.49       -191.07
-173.5        332.71       -194.46
-272.12       220.581       -135.89
-211          1.78         15.01
-90.33        -63.28       -127.78
-43.67       -136.93        -28.83
3.1978        -112.8          14.3
89.57       -101.74        105.99
119.86        -57.21         -11.3
23.44        -4.109       -102.55
-66.85        15.34        -69.3
-22.81       -24.64        16.56
24.019         6.04        -23.7
-186.256         22.76         22.44
-147.29        137.22         -4.71
-208.45         -0.47          7.44
-87.58       -71.25        14.51
-41.04       -55.09        -48.1
-5.6522       -100.69          3.06
15.46        -93.4        -4.49
125.55       -105.08         19.69
86.62       10.974         7.98
127.2         38.98         80.15
-37.2        48.53        -42.1
-39.5361        67.46        50.31
-110.59        111.54        109.34
-198.9        102.62          4.85
-197.85        9.5242          6.77
39.71       -91.98       -89.16
64.807        182.03         19.31
-25.501        239.38        -72.14
-87.74        -8.15         0.14
149.25        -63.35         19.04
200.95      -39.0634         -1.81
101.8         75.08        -28.64
-3.33        99.45         3.62
20.445        174.53        -17.55
-101.72         227.7         20.05
-218.22        269.79        -42.09
-244.73        8.5786          43.4
-69.17       -71.03       -38.16
61.245       -40.83       -89.75
-16.035        -4.71       -45.37
114.19        -91.54       -121.65
94.83      -214.439        -11.26
253.17        7.2782         100.7
-8.67        -62.99       -107.88
-33.58       -55.41       -96.86
13.104        73.59        -7.55
-198.099        122.13         14.44
-290.69        288.18         -7.94
-309.99      -5.25327        135.49
-116.2       -126.76          36.3
-3.262        -35.3       -86.38
29.014        121.82         -1.54
23.6        40.76         3.38
120.62        -49.94        -33.55
132.46       43.8842         77.52
-3.71        67.52        70.23
-74.91        63.99        92.83
37.917        257.93        104.14
-204.935           357         36.42
-274.21        192.12        159.63
-311.43       18.9885        104.84
-109.99         12.17        -91.11
86.982        133.47        -48.28
4.043        136.44        -46.55
-2.53          -63       -66.68
-100            0            0
35.66      21.5304        43.56
-8.51       44.062        83.13
